academicGroup,department,staffName,year,title,journal,quartile,quartileYear,citeScorePercentile,citations,doi,scopusId,authorRole,sdgs
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,A Comprehensive Checklist and Ecological Assessment of Eurotiomycetes in Thailand: Substrate and Habitat Associations with The Discovery of a New Insect-associated Species and a New Record,Chiang Mai Journal of Science,Q3,2024,49,0,10.12982/CMJS.2026.016,2-s2.0-105036034354,co_author,SDG 15 Life on Land
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Exploring a new habitat for Distoseptispora (Distoseptisporaceae, Distoseptisporales) and introducing D. mangrovei sp. nov. from a mangrove wetland in Guangdong Province, China",Phytotaxa,Q3,2024,41,0,10.11646/PHYTOTAXA.752.2.3,2-s2.0-105038196179,co_author,SDG 14 Life Below Water
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"First Report on the Asexual Morphology of Nigrograna jinghongensis (Nigrogranaceae, Pleosporales) with a New Host Record from China",New Zealand Journal of Botany,Q2,2024,57,0,10.1002/nzb2.70004,2-s2.0-105035202675,co_author,
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,Four New Dibenzo-α-pyrones From Helicosporium sexuale LZ15,Chemistry and Biodiversity,Q2,2024,51,0,10.1002/cbdv.71229,2-s2.0-105036565546,co_author,SDG 15 Life on Land
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Funiliomycetaceae fam. nov. (Amphisphaeriales, Ascomycota) accommodating Funiliomyces, including F. jiangxiensis sp. nov. from Tetradium ruticarpum and ten new combinations",IMA Fungus,Q1,2024,96,0,10.3897/imafungus.17.179140,2-s2.0-105029829301,co_author,SDG 15 Life on Land
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Identification of Aquapteridospora guangxiensis sp. nov., a Novel Lignicolous Freshwater Fungus from Guangxi Province, China",New Zealand Journal of Botany,Q2,2024,57,1,10.1002/nzb2.70010,2-s2.0-105035335150,co_author,SDG 6 Clean Water and Sanitation
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,Isolation and molecular characterization of three new fungal endophyte species from members of lauraceae in northern Thailand,Agriculture Communications,Q2,2024,53,0,10.1016/j.agrcom.2026.100134,2-s2.0-105031928983,co_author,SDG 2 Zero Hunger; SDG 15 Life on Land
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Lasiobelonium sublanceolatum sp. nov. (Solenopeziaceae, Helotiales) from Yunnan, China",New Zealand Journal of Botany,Q2,2024,57,0,10.1002/nzb2.70065,2-s2.0-105035360710,co_author,
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Magnusiomyces doitungensis sp. nov., a novel arthroconidial yeast isolated from rotten wood in Northern Thailand",Phytotaxa,Q3,2024,41,0,10.11646/phytotaxa.744.2.2,2-s2.0-105031951761,co_author,
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Monosporozyma xishuangbannaensis, a novel ascomycetous yeast isolated from leaf litter in Yunnan, China",Phytotaxa,Q3,2024,41,0,10.11646/phytotaxa.747.3.1,2-s2.0-105033103480,co_author,
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Morpho-cultural and molecular phylogenetic analyses reveal Neoarthrinium kaempferiae sp. nov. (Neoarthriniaceae), an endophytic fungus from Kaempferia galanga in Guangdong, China",Phytotaxa,Q3,2024,41,0,10.11646/phytotaxa.744.3.2,2-s2.0-105032139181,co_author,
Biology,Bioscience,Adjunct Prof. Dr. Kevin Hyde,2026,"Multilocus Phylogeny and Morphology Reveal New Host Records of Didymella, Dinemasporium, and Periconia From Bryophytes and Ferns in Southern China",New Zealand Journal of Botany,Q2,2024,57,0,10.1002/nzb2.70093,2-s2.0-105037581868,co_author,SDG 15 Life on Land
