staffName,department,academicGroup,staffFirstName,staffLastName,scopusAuthorId,recommended,matchConfidence,matchScore,matchReason,scopusPreferredSurname,scopusPreferredGivenName,scopusInitials,documentCount,currentAffiliationId,currentAffiliationName,currentAffiliationCity,currentAffiliationCountry,orcid,subjectAreas,scopusAuthorUrl,apiQueriesUsed,note
Prof. Dr. Surat Laphookhieo,Chemistry,Chemistry,Surat,Laphookhieo,6506733925,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Laphookhieo,Surat,S.,170,60020524,Mae Fah Luang University,Chiang Rai,Thailand,[0000-0002-4757-2781],"Agricultural and Biological Sciences (all); Pharmacology, Toxicology and Pharmaceutics (all); Pharmacology, Toxicology and Pharmaceutics (all)",https://api.elsevier.com/content/author/author_id/6506733925,"name_exact: AUTHLASTNAME(Laphookhieo) AND AUTHFIRST(Surat) | mfu_affiliation: AUTHLASTNAME(Laphookhieo) AND AFFIL(""Mae Fah Luang University"")",
Assoc. Prof. Dr. Orawan Suwantong,Chemistry,Chemistry,Orawan,Suwantong,14827258700,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Suwantong,Orawan,O.,73,60020524,Mae Fah Luang University,Chiang Rai,Thailand,[0000-0003-2680-7390],Materials Science (all); Materials Science (all); Chemistry (all),https://api.elsevier.com/content/author/author_id/14827258700,"name_exact: AUTHLASTNAME(Suwantong) AND AUTHFIRST(Orawan) | mfu_affiliation: AUTHLASTNAME(Suwantong) AND AFFIL(""Mae Fah Luang University"")",
Assoc. Prof. Dr. Patcharee Pripdeevech,Chemistry,Chemistry,Patcharee,Pripdeevech,15049780900,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Pripdeevech,Patcharee,P.,71,60020524,Mae Fah Luang University,Chiang Rai,Thailand,,"Medicine (all); Agricultural and Biological Sciences (all); Pharmacology, Toxicology and Pharmaceutics (all)",https://api.elsevier.com/content/author/author_id/15049780900,"name_exact: AUTHLASTNAME(Pripdeevech) AND AUTHFIRST(Patcharee) | mfu_affiliation: AUTHLASTNAME(Pripdeevech) AND AFFIL(""Mae Fah Luang University"")",
Asst. Prof. Dr. Acharavadee Pansanit,Chemistry,Chemistry,Acharavadee,Pansanit,35520010800,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Pansanit,Acharavadee,A.,14,60020524,Mae Fah Luang University,Chiang Rai,Thailand,[0000-0001-8358-4889],"Pharmacology, Toxicology and Pharmaceutics (all); Medicine (all); Pharmacology, Toxicology and Pharmaceutics (all)",https://api.elsevier.com/content/author/author_id/35520010800,"name_exact: AUTHLASTNAME(Pansanit) AND AUTHFIRST(Acharavadee) | mfu_affiliation: AUTHLASTNAME(Pansanit) AND AFFIL(""Mae Fah Luang University"")",
Asst. Prof. Dr. Chuleeporn Thanomsilp,Chemistry,Chemistry,Chuleeporn,Thanomsilp,8588724600,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Thanomsilp,Chuleeporn,C.,16,60020524,Mae Fah Luang University,Chiang Rai,Thailand,,Engineering (all); Materials Science (all); Materials Science (all),https://api.elsevier.com/content/author/author_id/8588724600,"name_exact: AUTHLASTNAME(Thanomsilp) AND AUTHFIRST(Chuleeporn) | mfu_affiliation: AUTHLASTNAME(Thanomsilp) AND AFFIL(""Mae Fah Luang University"")",
Asst. Prof. Dr. Kanchana Watla-iad,Chemistry,Chemistry,Kanchana,Watla-iad,35079683100,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Watla-iad,Kanchana,K.,14,60020524,Mae Fah Luang University,Chiang Rai,Thailand,[0000-0003-4972-1215],Multidisciplinary; Materials Science (all); Chemistry (all),https://api.elsevier.com/content/author/author_id/35079683100,"name_exact: AUTHLASTNAME(Watla-iad) AND AUTHFIRST(Kanchana) | mfu_affiliation: AUTHLASTNAME(Watla-iad) AND AFFIL(""Mae Fah Luang University"")",
Asst. Prof. Dr. Patchara Punyamoonwongsa,Chemistry,Chemistry,Patchara,Punyamoonwongsa,55212185200,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Punyamoonwongsa,Patchara,P.,19,60020524,Mae Fah Luang University,Chiang Rai,Thailand,,Materials Science (all); Materials Science (all); Chemistry (all),https://api.elsevier.com/content/author/author_id/55212185200,"name_exact: AUTHLASTNAME(Punyamoonwongsa) AND AUTHFIRST(Patchara) | mfu_affiliation: AUTHLASTNAME(Punyamoonwongsa) AND AFFIL(""Mae Fah Luang University"")",
Asst. Prof. Dr. Patcharanan Choto,Chemistry,Chemistry,Patcharanan,Choto,16204793100,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Choto,Patcharanan,P.,11,60020524,Mae Fah Luang University,Chiang Rai,Thailand,,Chemistry (all); Computer Science (all); Computer Science (all),https://api.elsevier.com/content/author/author_id/16204793100,"name_exact: AUTHLASTNAME(Choto) AND AUTHFIRST(Patcharanan) | mfu_affiliation: AUTHLASTNAME(Choto) AND AFFIL(""Mae Fah Luang University"")",
Asst. Prof. Dr. Phunrawie Promnart,Chemistry,Chemistry,Phunrawie,Promnart,57213722867,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Promnart,Phunrawie,P.,11,60020524,Mae Fah Luang University,Chiang Rai,Thailand,,"Medicine (all); Biochemistry, Genetics and Molecular Biology (all); Multidisciplinary",https://api.elsevier.com/content/author/author_id/57213722867,"name_exact: AUTHLASTNAME(Promnart) AND AUTHFIRST(Phunrawie) | mfu_affiliation: AUTHLASTNAME(Promnart) AND AFFIL(""Mae Fah Luang University"")",
Asst. Prof. Dr. Suwanna Deachathai,Chemistry,Chemistry,Suwanna,Deachathai,8859653900,yes,high,16,surname exact; given name exact; current affiliation Mae Fah Luang University; current affiliation country Thailand,Deachathai,Suwanna,S.,27,60020524,Mae Fah Luang University,Chiang Rai,Thailand,,"Chemistry (all); Biochemistry, Genetics and Molecular Biology (all); Agricultural and Biological Sciences (all)",https://api.elsevier.com/content/author/author_id/8859653900,"name_exact: AUTHLASTNAME(Deachathai) AND AUTHFIRST(Suwanna) | mfu_affiliation: AUTHLASTNAME(Deachathai) AND AFFIL(""Mae Fah Luang University"")",
